time,lat,lon,pr
1951-06-04,22.625,80.625,0.0
1951-06-05,22.625,80.625,2.5999999344348907
1951-06-06,22.625,80.625,0.0
1951-06-07,22.625,80.625,0.0
1951-06-08,22.625,80.625,0.0
1951-06-09,22.625,80.625,0.0
1951-06-10,22.625,80.625,0.0
1951-06-11,22.625,80.625,0.0
1951-06-12,22.625,80.625,0.8499999940395355
1951-06-13,22.625,80.625,6.075000047683716
1951-06-14,22.625,80.625,8.575000047683716
1951-06-15,22.625,80.625,7.0250000059604645
1951-06-16,22.625,80.625,21.725000143051147
1951-06-17,22.625,80.625,7.925000190734863
1951-06-18,22.625,80.625,0.0
1951-06-19,22.625,80.625,3.150000035762787
1951-06-20,22.625,80.625,0.05000000074505806
1951-06-21,22.625,80.625,0.0
1951-06-22,22.625,80.625,4.050000011920929
1951-06-23,22.625,80.625,12.574999809265137
1951-06-24,22.625,80.625,0.20000000298023224
1951-06-25,22.625,80.625,4.349999904632568
1951-06-26,22.625,80.625,9.425000309944153
1951-06-27,22.625,80.625,32.92499923706055
1951-06-28,22.625,80.625,11.175000160932541
1951-06-29,22.625,80.625,0.22500000149011612
1951-06-30,22.625,80.625,4.000000059604645
1951-07-01,22.625,80.625,13.724999904632568
1951-07-02,22.625,80.625,13.699999928474426
1951-07-03,22.625,80.625,7.000000029802322
1951-07-04,22.625,80.625,3.8750001192092896
1951-07-05,22.625,80.625,0.0
1951-07-06,22.625,80.625,13.475000143051147
1951-07-07,22.625,80.625,3.099999964237213
1951-07-08,22.625,80.625,3.2250000536441803
1951-07-09,22.625,80.625,5.549999952316284
1951-07-10,22.625,80.625,13.200000047683716
1951-07-11,22.625,80.625,2.1749999821186066
1951-07-12,22.625,80.625,0.6000000089406967
1951-07-13,22.625,80.625,8.299999952316284
1951-07-14,22.625,80.625,1.6499999910593033
1951-07-15,22.625,80.625,29.774999046698213
1951-07-16,22.625,80.625,3.174999952316284
1951-07-17,22.625,80.625,0.6499999761581421
1951-07-18,22.625,80.625,0.0
1951-07-19,22.625,80.625,0.20000000298023224
1951-07-20,22.625,80.625,24.15000033378601
1951-07-21,22.625,80.625,1.3750000149011612
1951-07-22,22.625,80.625,0.0
1951-07-23,22.625,80.625,0.925000011920929
1951-07-24,22.625,80.625,0.02500000037252903
1951-07-25,22.625,80.625,0.3499999940395355
1951-07-26,22.625,80.625,26.200000286102295
1951-07-27,22.625,80.625,10.074999928474426
1951-07-28,22.625,80.625,0.2000000048428774
1951-07-29,22.625,80.625,1.0750000178813934
